"code","status","similarity","url"
"1","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/1"
"2","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/2"
"3","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/3"
"4","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/4"
"5","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/5"
"6","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/6"
"7","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/7"
"8","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/8"
"9","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/9"
"10","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/10"
"11","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/11"
"12","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/12"
"13","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/13"
"14","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/14"
"15","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/15"
"16","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/16"
"17","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/17"
"18","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/18"
"19","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/19"
"20","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/20"
"21","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/21"
"22","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/22"
"23","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/23"
"24","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/24"
"25","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/25"
"26","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/26"
"27","逐節比對不足，未修改","","https://www.hymnal.net/zh/hymn/ch/27"
"28","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/28"
"29","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/29"
"30","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/30"
"31","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/31"
"32","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/32"
"33","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/33"
"34","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/34"
"35","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/35"
"36","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/36"
"37","原本已一致","100%","https://www.hymnal.net/zh/hymn/ch/37"
"38","原本已一致","99.6%","https://www.hymnal.net/zh/hymn/ch/38"
"39","已修正換行","100%","https://www.hymnal.net/zh/hymn/ch/39"
"40","原本已一致","99.3%","https://www.hymnal.net/zh/hymn/ch/40"
