code,status,similarity,url
1,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/1
2,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/2
3,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/3
4,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/4
5,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/5
6,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/6
7,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/7
8,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/8
9,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/9
10,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/10
11,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/11
12,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/12
13,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/13
14,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/14
15,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/15
16,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/16
17,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/17
18,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/18
19,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/19
20,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/20
21,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/21
22,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/22
23,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/23
24,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/24
25,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/25
26,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/26
27,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/27
28,已修正換行,99.10%,https://www.hymnal.net/zh/hymn/ts/28
29,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/29
30,已修正換行,98.40%,https://www.hymnal.net/zh/hymn/ts/30
31,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/31
32,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/32
33,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/33
34,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/34
35,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/35
36,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/36
37,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/37
101,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/101
102,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/102
103,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/103
104,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/104
105,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/105
106,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/106
107,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/107
108,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/108
109,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/109
110,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/110
111,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/111
112,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/112
113,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/113
114,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/114
115,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/115
116,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/116
117,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/117
118,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/118
119,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/119
120,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/120
121,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/121
122,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/122
123,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/123
124,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/124
125,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/125
126,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/126
127,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/127
128,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/128
129,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/129
130,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/130
131,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/131
132,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/132
133,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/133
134,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/134
135,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/135
136,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/136
137,原本已一致,96.30%,https://www.hymnal.net/zh/hymn/ts/137
138,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/138
139,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/139
140,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/140
141,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/141
142,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/142
143,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/143
144,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/144
145,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/145
146,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/146
147,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/147
148,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/148
149,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/149
150,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/150
201,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/201
202,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/202
203,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/203
204,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/204
205,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/205
206,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/206
207,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/207
208,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/208
209,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/209
210,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/210
211,歌詞版本不同，未修改,,https://www.hymnal.net/zh/hymn/ts/211
212,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/212
213,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/213
214,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/214
215,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/215
216,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/216
217,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/217
218,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/218
219,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/219
220,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/220
221,已修正換行,100%,https://www.hymnal.net/zh/hymn/ts/221
222,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/222
223,原本已一致,100%,https://www.hymnal.net/zh/hymn/ts/223
224,原本已一致,98.90%,https://www.hymnal.net/zh/hymn/ts/224
